1,0,2355,1
1,0,594,0
1,0,919,0
1,0,1097,0
1,0,588,0
1,0,1907,0
1,0,1022,1
1,0,2762,0
1,0,260,0
1,0,1207,0
1,0,3114,0
1,0,608,0
2,0,2916,0
2,0,1210,1
2,0,3107,0
2,0,1610,1
2,0,292,0
2,0,110,1
2,0,589,1
2,0,1225,1
2,0,480,1
2,0,1370,1
2,0,2353,1
2,0,1196,1
2,0,1198,1
2,0,593,1
2,0,2396,1
2,0,318,1
2,0,356,1
3,0,1394,1
3,0,1580,0
3,0,260,1
3,0,480,1
3,0,1265,0
3,0,1197,1
3,0,1198,1
4,0,1210,0
4,0,1214,0
4,0,260,1
4,0,1196,0
4,0,1097,0
4,0,1387,1
4,0,1240,1
5,0,3578,0
5,0,2700,1
5,0,296,1
5,0,2858,1
5,0,593,1
5,0,2716,0
5,0,162,1
5,0,1704,0
5,0,318,0
5,0,1213,1
5,0,2599,1
5,0,2959,1
5,0,1580,1
5,0,2028,0
5,0,2395,1
6,0,1210,0
6,0,17,1
7,0,648,0
7,0,2916,1
7,0,1610,1
7,0,733,1
7,0,377,0
7,0,1196,1
7,0,1270,0
7,0,457,1
7,0,3256,1
7,0,1580,0
7,0,110,1
7,0,2028,1
7,0,349,1
8,0,2268,0
8,0,296,1
8,0,589,1
8,0,2858,1
8,0,2571,1
8,0,608,1
8,0,1213,1
8,0,1721,1
8,0,337,1
8,0,2396,1
8,0,3418,0
8,0,1673,1
8,0,36,1
9,0,3147,1
9,0,150,0
9,0,1,1
9,0,2858,1
9,0,50,1
9,0,2571,1
9,0,457,1
9,0,1704,1
9,0,745,1
9,0,608,1
9,0,1213,1
9,0,3755,0
9,0,1148,1
9,0,1221,1
9,0,1223,1
9,0,2028,1
9,0,2324,1
10,0,2628,0
10,0,720,1
10,0,2997,0
10,0,588,0
10,0,589,0
10,0,1269,1
10,0,1196,1
10,0,1197,1
10,0,1198,1
10,0,1270,0
10,0,745,1
10,0,1282,1
10,0,750,0
10,0,2804,1
10,0,2161,1
10,0,1291,1
10,0,904,0
10,0,3471,1
10,0,2174,1
10,0,912,0
10,0,916,1
10,0,919,1
10,0,858,0
10,0,356,1
10,0,367,0
10,0,1617,0
10,0,2355,0
10,0,954,1
10,0,2501,1
10,0,1214,0
10,0,1073,1
10,0,1148,1
10,0,110,0
10,0,1223,1
10,0,480,0
10,0,2100,1
10,0,2105,1
10,0,1097,1
10,0,1240,1
10,0,1247,0
11,0,2997,1
11,0,1259,0
11,0,1265,0
11,0,1197,1
11,0,593,1
11,0,1923,1
11,0,2302,1
11,0,2321,0
11,0,2762,1
11,0,356,1
11,0,1704,1
11,0,1136,1
11,0,608,1
11,0,2396,0
12,0,1252,0
12,0,1193,1
12,0,923,1
12,0,1221,1
12,0,1247,0
13,0,589,1
13,0,1196,1
13,0,1197,1
13,0,1198,1
13,0,2571,1
13,0,1356,1
13,0,329,1
13,0,260,1
13,0,919,1
13,0,780,1
13,0,1610,0
13,0,1544,1
13,0,50,1
13,0,1204,1
13,0,1210,1
13,0,1580,1
13,0,110,1
13,0,1097,1
14,0,2997,1
14,0,2762,1
14,0,3578,1
14,0,2920,1
14,0,2858,0
14,0,2396,1
15,0,1198,1
15,0,318,1
15,0,260,1
15,0,2683,1
15,0,356,1
15,0,2268,1
15,0,47,1
15,0,296,0
15,0,3147,1
15,0,1617,0
15,0,2858,1
15,0,50,1
15,0,3753,1
15,0,2959,0
15,0,1580,0
15,0,2028,1
16,0,2701,0
16,0,2724,1
16,0,2581,1
16,0,2770,0
16,0,2355,1
17,0,1909,0
17,0,1193,1
17,0,1196,1
17,0,593,1
17,0,2571,0
17,0,1270,1
17,0,260,1
17,0,1374,0
17,0,1527,1
17,0,32,1
17,0,356,1
17,0,2916,1
17,0,296,1
17,0,1617,1
17,0,2858,1
17,0,541,1
17,0,1653,1
17,0,110,0
17,0,2529,0
17,0,1584,0
17,0,1097,0
17,0,1748,1
17,0,1240,1
18,0,590,1
18,0,595,1
18,0,1275,1
18,0,2161,1
18,0,1291,1
18,0,10,1
18,0,260,1
