10002,1,GX008-86-4444840,32
10002,2,GX008-86-4444840,1
10002,3,GX008-86-4444840,74
10002,4,GX008-86-4444840,1
10002,6,GX008-86-4444840,1
10002,8,GX008-86-4444840,1
10002,9,GX008-86-4444840,1
10002,11,GX008-86-4444840,1
10002,12,GX008-86-4444840,1
10002,14,GX008-86-4444840,247
10002,22,GX008-86-4444840,1
10002,23,GX008-86-4444840,1
10002,17,GX037-06-11625428,1
10002,18,GX037-06-11625428,1
10002,19,GX037-06-11625428,1
10002,6,GX044-30-4142998,258
10002,8,GX044-30-4142998,85
10002,9,GX044-30-4142998,199
10002,10,GX044-30-4142998,86
10002,11,GX044-30-4142998,10
10002,14,GX044-30-4142998,1
10002,15,GX044-30-4142998,1
10002,16,GX044-30-4142998,1
10002,22,GX044-30-4142998,284
10002,13,GX228-42-3888699,1
10002,24,GX228-42-3888699,1
10002,25,GX228-42-3888699,1
10002,24,GX229-14-12863205,12
10002,25,GX229-14-12863205,13
10002,2,GX240-35-2775348,23
10002,3,GX240-35-2775348,109
10002,6,GX240-35-2775348,154
10002,8,GX240-35-2775348,196
10002,9,GX240-35-2775348,230
10002,10,GX240-35-2775348,17
10002,11,GX240-35-2775348,185
10002,14,GX240-35-2775348,192
10002,16,GX240-35-2775348,16
10002,22,GX240-35-2775348,252
10002,1,GX246-16-5503229,1
10002,2,GX246-16-5503229,22
10002,3,GX246-16-5503229,117
10002,6,GX246-16-5503229,36
10002,8,GX246-16-5503229,44
10002,9,GX246-16-5503229,39
10002,10,GX246-16-5503229,1
10002,11,GX246-16-5503229,41
10002,14,GX246-16-5503229,271
10002,16,GX246-16-5503229,112
10002,22,GX246-16-5503229,47
10002,1,GX255-50-7550514,29
10002,3,GX255-50-7550514,1
10002,4,GX255-50-7550514,123
10002,5,GX255-50-7550514,1
10002,14,GX255-50-7550514,263
10002,15,GX255-50-7550514,32
10032,12,GX010-65-7921994,1
10032,14,GX010-65-7921994,1
10032,16,GX010-65-7921994,1
10032,19,GX010-65-7921994,1
10032,21,GX010-65-7921994,1
10032,12,GX024-71-0000000,55
10032,23,GX024-71-0000000,137
10032,1,GX029-17-16711721,142
10032,2,GX029-17-16711721,95
10032,3,GX029-17-16711721,1
10032,10,GX029-17-16711721,1
10032,14,GX029-17-16711721,72
10032,1,GX029-35-5894638,137
10032,2,GX029-35-5894638,1
10032,3,GX029-35-5894638,35
10032,6,GX029-35-5894638,56
10032,8,GX029-35-5894638,85
10032,9,GX029-35-5894638,53
10032,10,GX029-35-5894638,66
10032,11,GX029-35-5894638,79
10032,14,GX029-35-5894638,86
10032,15,GX029-35-5894638,1
10032,16,GX029-35-5894638,149
10032,19,GX029-35-5894638,276
10032,21,GX029-35-5894638,130
10032,22,GX029-35-5894638,90
10032,1,GX030-77-6315042,130
10032,2,GX030-77-6315042,15
10032,3,GX030-77-6315042,121
10032,6,GX030-77-6315042,347
10032,8,GX030-77-6315042,368
10032,9,GX030-77-6315042,348
10032,10,GX030-77-6315042,151
10032,11,GX030-77-6315042,365
10032,14,GX030-77-6315042,121
10032,15,GX030-77-6315042,16
10032,19,GX030-77-6315042,343
10032,21,GX030-77-6315042,146
10032,22,GX030-77-6315042,348
10032,6,GX140-98-13566007,1
10032,8,GX140-98-13566007,1
10032,9,GX140-98-13566007,1
10032,11,GX140-98-13566007,1
10032,17,GX140-98-13566007,97
10032,18,GX140-98-13566007,1
10032,20,GX140-98-13566007,1
10032,22,GX140-98-13566007,1
10032,23,GX140-98-13566007,1
10032,1,GX256-43-0740276,1
10032,4,GX256-43-0740276,1
10032,5,GX256-43-0740276,1
